,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14
Item_1,-0.10429660747804041,0.10485121411615558,0.06639729015326279,0.03706157897198113,0.041009599765468564,-0.02810438120652914,0.057697662673414106,-0.025232881810933906,0.12695570041944712,-0.05737337426886565,0.01815331825932915,-0.11248876502064549,0.0054013295043560915,0.04238782207326913
Item_2,0.03670556161235187,-0.05877711099415108,0.14715875246674445,0.016380770082148922,-0.060956394546897205,0.07180506599523558,0.05150574405348259,0.002966728138247122,-0.10131596804198538,-0.06500232446487712,-0.07488055413619457,-0.06360619043482531,-0.07097628356892892,-0.024590592957963803
Item_3,-0.08674954568604823,-0.05264620925249273,-0.09408692855549378,-0.05084595074175011,0.03622041092706561,0.08903446866680119,-0.06394045581048641,0.10131358098834707,0.03691475965330125,0.08821917395477702,-0.07597192081887275,-0.07585330179243024,-0.039692253499933425,-0.021621290201861057
Item_4,0.17438833497460823,-0.011398700912107563,0.028784729566512575,0.07051585843840366,0.022556102769833646,0.020375961146886196,-0.012510614850828357,-0.013132354775450432,0.04286369135812843,0.1041669622514801,-0.007501036518981374,0.0028441547145905844,-0.02443738545404165,0.13250999568738367
Item_5,0.05145909106004708,0.05886625497373483,-0.06212395367877425,0.00143898871143672,-0.07210901168152481,0.1465381756989818,-0.00638064801857089,-0.03471012795237276,-0.02121313487889696,0.002969501901048284,0.15349403686623853,-0.04711841534532673,0.02860866701450365,-0.04378304974505104
Item_6,0.015066757526919881,0.07440158722179832,-0.04544372703064747,0.18210706689823358,-0.0627802398484656,-0.06672312804031405,-0.022914272194807208,0.08374959872604601,0.018383188981928183,-0.012102874035076247,-0.014604171364636159,0.055179050542340104,-0.047261083332004246,-0.07994214605224947
Item_7,0.024272301751109792,-0.07686197089833857,-0.07437772931792518,0.07218379968603171,0.15685287654176064,-0.010388421770001056,-0.037854465289273276,0.008402088969852005,-0.07993962189199154,-0.10771408468496346,0.008653137336810758,-0.023885081743540933,0.07736862741752296,0.02270365983841906
Item_8,-0.06413201792679095,0.1379269674327454,0.05344594209980608,-0.07469572332868876,0.08418746961127001,0.06372679862059653,-0.01872457948337846,0.04053125131940706,-0.05419253054399967,-0.017007547855427303,0.017884050154089243,0.1267993977168997,-0.049519218389735775,0.044951740290498726
Item_9,-0.048435232828511345,-0.08399072401111249,-0.11489566824380604,-0.019500398587436407,0.008649801299218338,-0.044845606020245274,0.16228205767624027,-0.0735914522342929,-0.013571275864746032,0.019384391370264577,0.03308184953857861,0.03627041674061185,-0.09489419428955331,0.009467035945573878
Item_10,0.14121179162816339,0.033368412698075445,-0.026902821278511256,-0.12850646568509494,-0.008363134559526588,-0.01278605784065294,0.08431375263889629,0.04291130386908993,0.07296815642558922,-0.04472311627791342,-0.06817200685246347,0.029634886594824054,0.08034345113017477,-0.053390070267837014
Item_11,0.0349319736084234,-0.09556386584792458,0.10241095003326521,-0.07007230019318386,0.05384975494214834,-0.08865773190353958,-0.10099997387333465,-0.013883996374444499,0.05145431137201849,0.01350210145304756,0.09731180747561181,0.0028100321068061755,-0.054089830967478665,-0.07875014560916814
Item_12,-0.09068088985843384,-0.07658180871516128,0.06287505013720637,0.06905900917009433,-0.006822489143507241,0.082937596744094,-0.00452063270462383,-0.1037176074838834,0.05423947878537317,0.0453994103858967,-0.048147357855772996,0.09206483542881894,0.09587805653661272,-0.04057485043659797
Item_13,-0.026251737494246162,-0.00504727650008347,-0.0689920265663979,-0.059562202249805955,-0.13839611885560793,-0.03937844471536609,-0.13081691670091106,-0.07757726399537461,0.009148825371201064,-0.08482857008966473,-0.04262090923652002,0.010821426439357278,-0.014432924234990175,0.07557922390288402
Item_14,-0.0053847739160565134,0.1154623117684498,-0.0003285097280829383,-0.02472332487309179,0.01795172993559398,-0.09719730499691658,-0.015420654005013346,-0.08627131398339201,-0.11528985920214328,0.11347313682213829,-0.0445033554178473,-0.05891987083680571,0.045590323998986486,-0.04135636386081125
Item_15,-0.07747996699359178,-0.06682551259948831,0.05160803414427671,-0.018215496330653367,-0.09725588547459109,-0.06584067248723476,0.04248017305053457,0.1263182444560513,-0.04834732801799797,0.04224956772122621,0.06810954571226237,0.004899730383439416,0.09445281369954606,0.06505249463063888
