,Threshold 1,Threshold 1,Threshold 2,Threshold 2,Threshold 3,Threshold 3,Threshold 4,Threshold 4,Threshold 5,Threshold 5,Overall statistics,Overall statistics,Overall statistics
,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Count,Infit MS,Outfit MS
Rater_1,-0.583,0.124,0.808,0.1,-0.029,0.089,-0.406,0.092,-0.169,0.141,1600.0,1.03,1.029
Rater_2,0.154,0.112,0.777,0.102,-0.139,0.085,0.406,0.102,-0.884,0.137,1600.0,1.108,1.091
Rater_3,-0.193,0.15,0.148,0.1,-0.525,0.09,-0.856,0.098,-0.069,0.099,1600.0,1.002,1.0
Rater_4,0.893,0.12,0.168,0.087,1.01,0.087,0.145,0.093,-0.347,0.153,1600.0,1.028,1.03
Rater_5,0.119,0.162,-1.177,0.143,-0.531,0.066,0.456,0.085,0.354,0.133,1600.0,1.075,1.08
Rater_6,-0.368,0.131,0.0,0.094,0.424,0.079,0.194,0.086,0.22,0.138,1600.0,1.015,1.018
Rater_7,0.063,0.134,-0.261,0.101,0.094,0.077,-0.031,0.077,0.423,0.133,1600.0,1.04,1.042
Rater_8,-0.084,0.142,-0.463,0.115,-0.305,0.076,0.092,0.085,0.472,0.177,1600.0,0.993,0.99
