,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9
Item_1,-0.010401797691328716,0.22458671616411593,-0.20640235445416724,0.020028438791694567,0.01810648223533453,-0.12233953752018975,-0.06633578781413596,0.09665504415401757,-0.06013125254145097
Item_2,0.06748699241815617,0.11884450573907791,0.2279068733005504,0.1895065829558991,-0.09813556001676754,0.05729517345733721,0.007394808335394628,0.08297274012877981,0.02922734393536275
Item_3,0.2076745167076451,-0.21672536328529707,-0.052586102643065305,0.036786087567496954,-0.044295680542237106,-0.11949198958134898,-0.11370306458114267,-0.030747977554704264,0.062205673254519804
Item_4,0.19699653783027835,0.11923508543795776,-0.007768811499084622,-0.16867632292711568,0.03967692119031153,0.13492165323497446,0.06221092029462506,-0.1423867024062648,-0.015612615837910657
Item_5,-0.17490749188038968,0.03949969969410468,0.08887810486168467,-0.1555211041606331,0.05353266841533417,-0.01550084097010027,-0.12198743428573293,0.002728811643624508,0.19356290398033232
Item_6,-0.08043112493031844,-0.05406539663154429,-0.16508969495663722,0.09861187542502395,-0.01015605409823884,0.05143437738394564,0.22071749300387283,0.000887300586697588,0.14481599345901708
Item_7,-0.11256872973146524,-0.009987491780675789,0.09055868252886429,0.12331315947160595,0.16591235523096676,-0.11846653319401532,0.03623087075883728,-0.1822749912929958,-0.07968391276147706
Item_8,-0.09123895578081086,-0.06792905618470997,0.07947546807837715,-0.17557222126043712,-0.16691916054222242,-0.11753129582375814,0.13146710538651932,0.036523348858892,-0.10166914274642999
Item_9,-0.1614678862440776,-0.08800659405061854,-0.08491589565026464,0.04509643281440202,-0.0925848112231804,0.19477785565251673,-0.13563959394348446,-0.05173949869080737,-0.10230738130983164
Item_10,0.02456585628101688,-0.12769585466318462,0.03764405224890265,-0.04552317619787125,0.2132237099212935,0.07791843036261537,0.03080756946187208,0.19740166745412188,-0.06932325314008025
