,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9
Item_1,-0.16996079014773074,0.2224926717658846,-0.04550486774781281,-0.0421083873797954,-0.06982153785442881,0.1130999894022345,-0.11415747151416707,0.09727149992167176,-0.05939946165476008
Item_2,-0.0407603756442268,0.0032650305080062212,-0.1923207620494242,0.24318243117626642,0.05055574506330097,-0.08682621221665544,0.06779069221299633,0.07269806497400695,0.07697012146364517
Item_3,0.24973694386130002,0.015520030972986458,0.04039380405879153,0.11150171015970901,-0.13438717988298646,-0.039820513197196615,-0.14374368753590167,-0.08333283414015791,-0.0579605313744095
Item_4,-0.22845894472659714,-0.046299519191558516,0.12891836166138668,0.05590330816944354,0.012846712683428518,-0.08175975042690233,0.05330214694806825,-0.17144621652772096,-0.10971270963370364
Item_5,0.023587047471617786,-0.20869249121460695,-0.02198451480765248,-0.08272386657044802,-0.06754884922162414,-0.02143195158748986,0.05901427779044289,0.1826441495791413,-0.16169789094185633
Item_6,0.12071286756903657,0.0005177423705852743,-0.04351906337375711,0.0002866908087461964,0.2110250675986921,0.20837835261994087,0.0646272823250772,-0.07069058121467986,-0.08164403467469057
Item_7,0.07292500030767746,0.1003110635509168,0.22900323390067706,0.012755503130310335,-0.04481509819233521,0.02583290803620487,0.17185459285873197,0.09033071336868921,0.11208234431971718
Item_8,-0.08569098723898384,-0.21170190761633711,0.012800226249954498,-0.020863902249138973,-0.050348933362070275,0.13769992895873837,-0.0962576907264993,-0.031213098879906736,0.1897745500895995
Item_9,0.024002016225973796,0.00859935721554504,0.07544856830374735,-0.10712011219544046,0.22043622274424393,-0.16096324476472343,-0.1391650655249498,0.06878423136765636,0.05060603590151312
Item_10,0.04746304960216572,0.05671906048117392,-0.16540521680646036,-0.22226539288647107,-0.0743156680682574,-0.08258656180041499,0.10118089250123387,-0.1169199042461565,0.06310099735533241
