,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
Item_1,0.013195553261403441,-0.10090221782675744,-0.15111332985689796,-0.019135933542367613,-0.0871656879779245,-0.1500151849420964,-0.08855441994856558,-0.02374012131278229,0.046153523915136774,-0.10265945297248029,0.043568552564194965
Item_2,0.019621553949461308,0.1909983284704982,0.08791480612543955,-0.001801949854170092,-0.023293544688108216,-0.013446113334958418,-0.08794965105883375,-0.0698096719242734,0.14410900579899105,0.04090279462958977,0.07757317901373885
Item_3,-0.05695078725950626,0.11609131618275646,-0.0030576248678540452,0.09948219164748065,0.03705284321431013,-0.059901510808428426,0.03238679386467875,-0.14652559807482474,-0.13238030754693714,-0.07850194036299317,-0.07937553917124618
Item_4,0.11835825638784178,-0.040177253242898746,0.16816759318896046,-0.07822533335737725,0.11780049573574872,-0.10141847622047723,-0.036291296108485874,0.0855058785338845,-0.06038287545517101,-0.04213128513252959,-0.014730848188488107
Item_5,-0.10788141679423388,-0.050043405787997076,0.11868052746894359,-0.006446521374633263,-0.14942259630292964,-0.02396539620005399,0.17078056172999267,0.01751555093955125,-0.011501125540923677,-0.006903798756045696,0.08015645114467448
Item_6,-0.029303227582253486,0.07287518766386036,-0.047683947010519305,-0.1369558655093788,-0.12916579024945918,0.056559011030777144,-0.09584512126701743,0.052995419825523436,-0.13002809262455972,0.08126693725990433,-0.05285324478684329
Item_7,-0.019522779735570484,-0.09757872028716322,0.05447726272197072,0.19077623662594187,-0.050956069561319664,0.00010073419339572388,-0.07305712458080246,0.04382227094504984,0.051095311176231645,0.08754183864763938,-0.1267028576677334
Item_8,-0.05111167502614662,0.12756338349355034,-0.11076200123965936,0.015011570778275437,0.0643229671098344,-0.00369878222195841,0.09399481483822185,0.17401388370732046,0.07317578560122703,-0.04966975228330228,-0.054936461527260845
Item_9,0.16726640260811007,-0.029099671969995383,-0.09108056905152291,-0.04333040271529335,0.02515146392515982,-0.02592736570092374,0.13613867078663658,-0.08635228679026491,0.022667808555869765,0.1363897565960678,-0.032223565716016825
Item_10,0.14988699294590757,-0.013057632871543861,-0.023221861501079247,0.09539215800743293,-0.02511331309374409,0.19199388060186318,-0.007942349247505335,0.01523484200752548,-0.04409006697656244,-0.09202658386825555,0.08067561227825608
Item_11,-0.13119307446138911,-0.0487205701374078,-0.06090579398893961,0.047274688894297506,0.15113476329729938,0.0014112390782507046,-0.04124241006339503,0.010152179133445866,-0.06261525892654493,0.10418776217955436,0.14183658431978477
Item_12,-0.11081000316177593,-0.09687788274015972,0.020537464705559703,-0.12766806197394903,0.0762770918181833,0.13117014604532012,-0.009347565078115261,-0.08936380615198268,0.08609402681089857,-0.05887315618895792,-0.07985567363838753
