,Item_1,Item_1,Item_2,Item_2,Item_3,Item_3,Item_4,Item_4,Item_5,Item_5,Item_6,Item_6,Item_7,Item_7,Item_8,Item_8,Item_9,Item_9,Item_10,Item_10,Item_11,Item_11,Item_12,Item_12,Threshold 1,Threshold 1,Threshold 2,Threshold 2,Threshold 3,Threshold 3,Threshold 4,Threshold 4,Threshold 5,Threshold 5,Overall statistics,Overall statistics,Overall statistics
,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Count,Infit MS,Outfit MS
Rater_1,0.182,0.111,-0.11,0.147,-0.217,0.148,-0.308,0.154,-0.058,0.123,-0.223,0.213,0.188,0.194,-0.041,0.162,0.331,0.261,0.092,0.196,-0.505,0.143,0.044,0.132,-0.291,0.161,0.207,0.09,0.152,0.06,0.097,0.08,-0.164,0.118,2400.0,0.916,0.9
Rater_2,0.372,0.129,0.104,0.168,-0.4,0.24,0.143,0.12,0.36,0.118,0.276,0.183,0.459,0.16,-0.201,0.158,-0.031,0.238,0.029,0.2,-0.176,0.149,0.046,0.132,0.249,0.16,-0.251,0.096,-0.14,0.059,-0.008,0.088,0.15,0.142,2400.0,0.948,0.941
Rater_3,-0.299,0.166,-0.349,0.129,-0.023,0.248,-0.426,0.205,0.044,0.115,0.309,0.188,-0.545,0.12,-0.615,0.15,-0.228,0.205,0.391,0.188,-0.019,0.173,-0.182,0.142,-0.21,0.126,0.292,0.101,0.046,0.064,-0.041,0.092,-0.087,0.136,2400.0,0.958,0.965
Rater_4,-0.08,0.132,0.176,0.118,0.006,0.242,-0.149,0.211,0.207,0.121,0.036,0.256,0.529,0.161,0.233,0.153,0.105,0.196,0.06,0.168,-0.045,0.133,0.181,0.118,0.315,0.148,-0.074,0.103,-0.059,0.053,0.154,0.086,-0.337,0.147,2400.0,0.924,0.939
Rater_5,0.162,0.146,0.199,0.146,0.543,0.168,0.21,0.119,-0.309,0.15,-0.322,0.2,-0.131,0.201,0.269,0.198,-0.107,0.233,-0.044,0.187,0.173,0.252,0.095,0.126,0.28,0.143,0.03,0.094,-0.188,0.062,-0.065,0.075,-0.057,0.122,2400.0,0.986,0.97
Rater_6,-0.649,0.15,-0.154,0.183,0.061,0.197,0.026,0.164,-0.02,0.13,-0.318,0.177,0.19,0.202,0.155,0.196,-0.197,0.28,-0.211,0.17,0.26,0.201,-0.261,0.148,0.016,0.236,-0.118,0.094,0.064,0.07,0.114,0.076,-0.077,0.112,2400.0,0.925,0.921
Rater_7,0.33,0.126,0.383,0.13,-0.195,0.238,0.237,0.142,-0.224,0.138,-0.053,0.242,-0.303,0.186,-0.148,0.151,-0.137,0.195,-0.202,0.228,-0.142,0.191,-0.073,0.11,-0.328,0.236,0.208,0.104,0.034,0.063,-0.072,0.089,0.158,0.151,2400.0,0.912,0.901
Rater_8,-0.019,0.12,-0.249,0.157,0.226,0.202,0.267,0.127,-0.001,0.148,0.295,0.165,-0.386,0.164,0.347,0.175,0.264,0.261,-0.116,0.19,0.453,0.112,0.151,0.122,-0.031,0.225,-0.295,0.099,0.091,0.069,-0.179,0.091,0.413,0.127,2400.0,0.96,0.939
